email,matricola,nome,cognome
matteo.bellini@studenti.poliba.it,708333,Matteo,Bellini
giada.derosa@studenti.poliba.it,703777,Giada,De Rosa
diego.battaglia@studenti.poliba.it,705999,Diego,Battaglia
eleonora.negri@studenti.poliba.it,709555,Eleonora,Negri
salvatore.sorrentino@studenti.poliba.it,702999,Salvatore,Sorrentino
gioia.guerra@studenti.poliba.it,704111,Gioia,Guerra
elia.castelli@studenti.poliba.it,707444,Elia,Castelli
melissa.marini@studenti.poliba.it,701777,Melissa,Marini
jacopo.grimaldi@studenti.poliba.it,708777,Jacopo,Grimaldi
asia.giuliani@studenti.poliba.it,703444,Asia,Giuliani
vincenzo.pagano@studenti.poliba.it,706333,Vincenzo,Pagano
alice.riva@studenti.poliba.it,709666,Alice,Riva
filippo.lombardo@studenti.poliba.it,702000,Filippo,Lombardo
giulia.montanari@studenti.poliba.it,705444,Giulia,Montanari
lorenzo.volpi@studenti.poliba.it,704555,Lorenzo,Volpi
sofia.fiore@studenti.poliba.it,707111,Sofia,Fiore
gabriele.deangelis@studenti.poliba.it,701000,Gabriele,De Angelis
aurora.amato@studenti.poliba.it,708111,Aurora,Amato
mattia.silvestri@studenti.poliba.it,703000,Mattia,Silvestri
ginevra.messina@studenti.poliba.it,706222,Ginevra,Messina
leonardo.filippi@studenti.poliba.it,709888,Leonardo,Filippi
beatrice.piva@studenti.poliba.it,702111,Beatrice,Piva
alessandro.carbone@studenti.poliba.it,705777,Alessandro,Carbone
vittoria.rossetti@studenti.poliba.it,704000,Vittoria,Rossetti
edoardo.ferretti@studenti.poliba.it,707000,Edoardo,Ferretti
matilde.luppi@studenti.poliba.it,701111,Matilde,Luppi
tommaso.martelli@studenti.poliba.it,708000,Tommaso,Martelli
ludovica.pellegrino@studenti.poliba.it,703223,Ludovica,Pellegrino
federico.battistini@studenti.poliba.it,706888,Federico,Battistini
nicole.fabbri@studenti.poliba.it,709223,Nicole,Fabbri
antonio.bassi@studenti.poliba.it,702223,Antonio,Bassi
chiara.ruggiero@studenti.poliba.it,705666,Chiara,Ruggiero
pietro.vitali@studenti.poliba.it,704112,Pietro,Vitali
anna.sartorio@studenti.poliba.it,707112,Anna,Sartorio
filippo.damico@studenti.poliba.it,701223,Filippo,D'Amico
camilla.orlandi@studenti.poliba.it,708334,Camilla,Orlandi
giovanni.greco@studenti.poliba.it,703556,Giovanni,Greco
martina.palmieri@studenti.poliba.it,706778,Martina,Palmieri
francesco.titti@studenti.poliba.it,709399,Francesco,Titti
